rank,ticker,sector,off_high_pct_12w,off_low_pct_12w,high_decile_12w,off_high_pct_26w,off_low_pct_26w,high_decile_26w,off_high_pct_4w,off_low_pct_4w,high_decile_4w,off_high_pct_52w,off_low_pct_52w,high_decile_52w,composite_score
28,LITE,Semiconductors,-17.419225960280304,45.70472443732256,3,-20.168928312703628,64.146513502154,4,-13.300819510735762,45.70472443732256,2,-20.168928312703628,652.319784902799,5,4.0
29,AMZN,E-commerce/Cloud,-9.947773715143072,14.666371706261373,3,-9.947773715143072,31.95408412388392,4,-9.947773715143072,14.3570926312923,2,-9.947773715143072,31.95408412388392,5,4.0
30,TSLA,Auto/Energy,-18.26741320489499,22.01895870388242,3,-19.96912434136314,22.01895870388242,4,-0.993182714444063,22.01895870388242,9,-27.257784191168533,22.01895870388242,3,3.9
31,IGV,Software,-4.340176677746676,22.63613907203066,5,-4.340176677746676,39.8214558634936,5,-3.166273773693651,15.381188717454354,5,-12.39087666911194,39.8214558634936,2,3.8
32,NBIS,Biotech,-26.922558664871666,50.29492475732194,3,-26.922558664871666,162.33689463087174,4,-21.970581718336536,50.29492475732194,2,-26.922558664871666,246.3958436562626,4,3.6
33,MU,Semiconductors,-22.96573471738048,31.02130738051583,2,-22.96573471738048,210.37274378205183,3,-6.693173178956535,31.02130738051583,6,-22.96573471738048,746.1969621854486,4,3.5
34,BE,Energy,-42.65258550208271,28.039710054494016,1,-42.65258550208271,72.9110353181285,3,-20.472938735217394,28.039710054494016,3,-42.65258550208271,361.82944035101514,5,3.4
35,GLD,Gold,-0.36010008334532717,16.525370697178655,9,-13.977447810228094,16.525370697178655,1,-0.36010008334532717,15.50486638516193,9,-16.939380966779126,38.15879498437322,1,3.4
36,CAT,Industrial,-22.875556188325753,6.688147476038986,2,-22.875556188325753,24.90006108580245,3,-11.454542843415771,6.688147476038986,6,-22.875556188325753,101.67106269373166,3,3.1
37,AVGO,Semiconductors,-25.56565409958965,3.372336722006364,2,-25.56565409958965,27.069258885708436,3,-14.854527568536902,3.031242778305554,5,-25.56565409958965,28.752138560483665,3,3.0
38,MRVL,Semiconductors,-28.143570456675736,45.512585738192904,1,-28.143570456675736,215.04518875096244,2,-6.130211755273729,45.512585738192904,7,-28.143570456675736,285.8072893626134,3,2.7
39,SNDK,Semiconductors,-32.208341486425006,59.89740952633689,2,-32.208341486425006,208.71952728330513,2,-12.686614008753583,59.89740952633689,4,-32.208341486425006,3564.095284058761,2,2.2
40,SMH,Semiconductors,-16.583068833732785,11.27613078584504,1,-16.583068833732785,55.732786562156434,2,-6.654231978937142,11.27613078584504,6,-16.583068833732785,98.91389306997272,2,2.2
41,GOOGL,Internet/Cloud,-12.006529813260801,9.501433473374355,2,-15.611458435715841,26.720820949924295,2,-10.315231619029387,6.281594356261033,1,-15.611458435715841,72.9027829253356,2,1.9
42,ORCL,Software/Cloud,-41.47052898273601,27.921398446028924,1,-41.47052898273601,27.921398446028924,1,-8.030888940903381,27.921398446028924,8,-57.63334469989238,27.921398446028924,1,1.7
43,INTC,Semiconductors,-36.72638157154265,10.123485373045105,1,-36.72638157154265,121.68347853061583,1,-16.268476387140886,10.123485373045105,4,-36.72638157154265,295.3906803331513,2,1.7
44,WMT,Retail,-15.649914682842091,1.5173719032893107,2,-23.276121531126194,1.5173719032893107,1,-11.268935987703665,1.5173719032893107,4,-23.276121531126194,8.677425003338168,1,1.5
45,META,Social Media/AI,-19.848995639520016,4.844712893058789,1,-20.479522084289805,5.6971541329479125,2,-10.210141405471951,4.844712893058789,2,-30.462818297611538,5.6971541329479125,1,1.4
46,WDC,Storage,-42.56066545237835,12.751543647332797,1,-42.56066545237835,93.04201783252364,1,-20.78620647561962,12.751543647332797,1,-42.56066545237835,517.3609429530002,2,1.4
